         25051 function calls (24971 primitive calls) in 0.046 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_column_index2}
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_csc.py:44(tocsr)
      100    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\_lib\_util.py:210(_prune_array)
       46    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
      179    0.000    0.000    0.000    0.000 D:\Python\Lib\enum.py:1116(__new__)
      105    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      110    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:592(<genexpr>)
       50    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       15    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:147(_validate_indices)
       15    0.000    0.000    0.002    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:45(__getitem__)
       70    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:196(<genexpr>)
       20    0.000    0.000    0.002    0.000 D:\Python\Lib\inspect.py:3067(from_callable)
       30    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:3176(ndim)
       90    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      175    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      415    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:2794(kind)
       70    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       45    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:2205(_is_pandas_df)
       11    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
      4/2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:452(_parse_sub)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:655(_ensure_no_complex_data)
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:23(upcast)
        5    0.000    0.000    0.030    0.006 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:2065(fit_transform)
       50    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_data.py:20(__init__)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:301(_use_interchange_protocol)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:747(unwrap)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:201(_isdtype_single)
      175    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\contextlib.py:132(__enter__)
       10    0.000    0.000    0.004    0.000 D:\pythonProject1\Software_Engineer\main.py:16(extract_text)
       75    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:168(__getitem__)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:175(get_annotations)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      125    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        5    0.000    0.000    0.007    0.001 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:419(build_analyzer)
       10    0.000    0.000    0.003    0.000 D:\Python\Lib\site-packages\sklearn\base.py:658(_validate_params)
        5    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csc_tocsr}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\numeric.py:136(ones)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:392(asarray)
        5    0.000    0.000    0.005    0.001 D:\Python\Lib\site-packages\sklearn\metrics\pairwise.py:1626(cosine_similarity)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\sklearn\metrics\pairwise.py:79(check_pairwise_arrays)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\contextlib.py:104(__init__)
       40    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:373(_compatible_boolean_index)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:311(_num_features)
    89/70    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:427(isdtype)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       60    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\getlimits.py:696(min)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\base.py:402(_check_n_features)
        5    0.000    0.000    0.000    0.000 {built-in method scipy.sparse._sparsetools.csr_todense}
       10    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:1228(_with_data)
       50    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:107(__init__)
       55    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
     11/4    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:178(getwidth)
